,xTPIS_HUMAN,xG3P_HUMAN,xKPYM_HUMAN,xPGAM1_HUMAN,xPGK1_HUMAN,xALDOA_HUMAN,xG6PI_HUMAN,xLDHA_HUMAN,xLDHB_HUMAN
WT DMEM + DFO,0.7134053630000002,0.41321018099999995,0.6826597283333333,0.5519683386666667,1.0281347220000001,1.1010785666666667,0.498998909,0.9483033500000001,0.093286792
WT HPLM + DFO,0.13160367199999995,0.30639270166666666,0.3165741753333333,0.3857748756666667,1.2142873973333332,0.5783656176666666,0.27402301733333334,0.6020375566666665,-0.01293723500000002
dPPTC7 DMEM + DFO,0.15751486166666662,0.3376144316666667,0.5105388543333332,0.7169156280000001,1.3247677803333333,0.8858413443333333,0.38264738333333337,0.8646538886666664,-0.0026751620000000087
dPPTC7 HPLM + DFO,0.46254343200000014,0.1904083286666666,0.21031102899999998,0.4880934056666667,1.235954188,0.4158155353333334,0.026503731333333308,0.7383715923333332,0.03787627399999999
