,xTPIS_HUMAN,xG3P_HUMAN,xKPYM_HUMAN,xPGAM1_HUMAN,xPGK1_HUMAN,xALDOA_HUMAN,xG6PI_HUMAN,xLDHA_HUMAN,xLDHB_HUMAN
WT DMEM + DFO,0.0005329775431433035,0.0043436664184346736,0.020896604045574384,0.0006788310957296525,0.0011303107808274886,0.000561298143184331,0.003370020805219873,0.0019222266757643195,0.19026716063719876
WT HPLM + DFO,0.2592263187278593,0.0028456025206323545,0.0351588272552112,0.011479108142877717,0.0030767430472830124,0.13825141716579065,0.09907512006250956,0.027265050608035423,0.8750726462406841
dPPTC7 DMEM + DFO,0.6580886773422325,0.004756716811507784,0.002506199748061548,0.004804408130173929,0.00041013814719056686,0.03622562344021425,0.004218199925782962,0.0007290317537675566,0.9829659767031682
dPPTC7 HPLM + DFO,0.1276028352384633,0.007919951154896566,0.05592180387871069,0.013551704094499422,0.0008033858587858827,0.1775495368888655,0.8012055388870911,0.0023835574470869128,0.7358127653720886
