,xTPIS_HUMAN,xG3P_HUMAN,xKPYM_HUMAN,xPGAM1_HUMAN,xPGK1_HUMAN,xALDOA_HUMAN,xG6PI_HUMAN,xLDHA_HUMAN,xLDHB_HUMAN
WT DMEM + DFO,0.0048203151527152965,0.010174040746250675,0.035822749792413226,0.0048203151527152965,0.005813026872827085,0.0048203151527152965,0.009332365306762725,0.008650020040939439,0.2283205927646385
WT HPLM + DFO,0.3010370152968688,0.009230229141849037,0.05433843516032138,0.021749889112820935,0.009230229141849037,0.17775182207030227,0.13718093547116708,0.044615537358603415,0.9000747218475609
dPPTC7 DMEM + DFO,0.7403497620100117,0.010174040746250675,0.009022319093021572,0.010174040746250675,0.0048203151527152965,0.05433843516032138,0.010174040746250675,0.0048203151527152965,0.9829659767031682
dPPTC7 HPLM + DFO,0.1701371136512844,0.01583990230979313,0.08052739758534339,0.02439306737009896,0.0048203151527152965,0.22040632165514337,0.8483352764686848,0.009022319093021572,0.8027048349513695
